"Table 2-1 HEAT CAPACITY OF GAS - ORGANIC COMPOUNDS"
""
"Cor=A+BT+CT’+DT’+ET*                              (Cp - joule/(mol K), T - K)"
"NO     FORMULA                      NAME                A            B             c              D                 E      TMIN TMAX"
"1__|CBrCIF2     BROMOCHLORODIFLUOROMETHANE           18.387    2.7933E-01   -3.7127E-04     2.2889E-07      -5.3229E-11    100   1500"
"2 |CBrCI3       BROMOTRICHLOROMETHANE               24484      3.2024E-01   -4.9096E-04     3.3359E-07      -8.2982E-11    100   1500"
"3 |CBrF3        BROMOTRIFLUOROMETHANE               17.208     24770E-01    -2.9181E-04     1.6247E-07      -3.4765E-11    100   1500"
"4 |CBraF2       DIBROMODIFLUOROMETHANE              22399      2.7403E-01   -3.7433E-04     2.3638E-07      -5.6067E-11    100   1500"
"5 |CCIF3        CHLOROTRIFLUOROMETHANE              13.762     24951E-01    -2.8194E-04     1.4962E-07      -3.0450E-11    100   1500"
"6 _|CCIN        CYANOGEN CHLORIDE                   21270      1.1915E-01   -1.6822E-04     1.1457E-07      -2.9210E-11    100   1500"
"7__|CCI2F2      DICHLORODIFLUOROMETHANE             14.877     2.8292E-01   -3.6295E-04     2.1591E-07      -4.8619E-11    100   1500"
"8 _|CCI20       PHOSGENE                            20.747     1.7972E-01   -2.3242E-04     1.4224E-07      -3.3087E-11    100 | 1500 |"
"9 [cCiaF        TRICHLOROFLUOROMETHANE              16.636     3.1336E-01   -4.4426E-04     2.8612E-07      -6.8556E-11   89 | 1500 |"
"10 _|CCl4        CARBON TETRACHLORIDE                19.816     3.3311E-01   -5.0511E-04     3.4057E-07      -8.4249E-11    100 1500 |"
"11__|CF20        CARBONYL FLUORIDE                   23.640     8.9853E-02   -2.4575E-05    -2.8140E-08       1.4023E-11   100 1500 |"
"12 |CF4          CARBON TETRAFLUORIDE                15.278     1.9916E-01   -1.6369E-04     5.1686E-08      -3.1820E-12    100 | 1500"
"13 |CHBr3        TRIBROMOMETHANE                     33.356    1.7475E-01    -1.9516E-04     1.0725E-07      -2.3180E-11    100   1500"
"14 _|CHCIF2      CHLORODIFLUOROMETHANE               20519      1.4746E-01   -9.2440E-05     1.4379E-08       3.4356E-12    100   1500"
"15 |CHCI2F       DICHLOROFLUOROMETHANE               33.078     1.0473E-01   -2.2510E-05    -3.8822E-08       1.8245E-11    100   1500"
"16__|CHCI3       CHLOROFORM                          22487      1.9823E-01   -2.1676E-04     1.1636E-07      -2.4555E-11    100   1500"
"17__|CHF3        TRIFLUOROMETHANE                    23.287    9.5385E-02     2.0049E-05    -7.4432E-08      2.7428E-11     100   1500"
"18 |CHI3         TRIIODOMETHANE                      41552      1.5326E-01   -1.5543E-04     5.8354E-08          ------     2981000"
"1QCHN            HYDROGEN CYANIDE                    25766     3.7969E-02    -1.2416E-05    -3.2240E-09      2.2610E-12     100   1500"
"20 [CHNS         ISOTHIOCYANIC-ACID                  14.770     1.4484E-01   -1.4613E-04     5.5948E-08          −−⋅∙⋅⋅⊷    2981000"
"21CH28rCI        BROMOCHLOROMETHANE                  27.752     9.1021E-02   -8.2541E-06    -3.7449E-08       1.5156E-11    100   1500"
"22 |CH2Br2       DIBROMOMETHANE                      28.305     1.0581E-01   -4.7966E-05    -2.6711E-09      5.1497E-12     100   1500"
"23 |CH2CIF       CHLOROFLUOROMETHANE                 12.674     1.3973E-01   -8.8709E-05     2.1577E-08            ——       298   1000"
"24 _[CH2CI2      DICHLOROMETHANE                     26.694    8.3984E-02     8.9712E-06    -5.0924E-08       1.8726E-11    100   1500"
"25 |CH2F2        DIFLUOROMETHANE                     30.323     1.1176E-02    1.5809E-04    -1.6323E-07      4.7955E-11     100   1500"
"26 |CH2l2        DIIODOMETHANE                       28.918     1.1739E-01   -7.3808E-05     1.7055E-08       1.2051E-14    100   1500"
"27 _|CH20        FORMALDEHYDE                        34.428    -2.9779E-02    1.5104E-04    -1.2733E-07      3.3887E-11      50   1500"
"28 |CH202        FORMIC ACID                         31.745    7.4234E-03     1.8791E-04    -1.9475E-07      5.7613E-11      50   1500"
"29 |CH3Br        METHYL BROMIDE                      29.146    2.4374E-02     1.0655E-04    -1.1324E-07      3.3241E-11     100   1500"
"30 |CH3CI        METHYL CHLORIDE                     27.385    2.6036E-02     1.0320E-04    -1.0887E-07      3.1642E-11     150   1500"
"31__|CH3CI3Si    METHYL TRICHLOROSILANE              56.670    2.0066E-01    -1.6721E-04    7.2533E-08       -1.2684E-11    200   1500"
"32 |CH3F         METHYL FLUORIDE                     34.077    -3.5019E-02    2.2031E-04    -1.9566E-07      5.4104E-11     100   1500"
"33 _|CH3I        METHYL IODIDE                       25635     6.6836E-02     1.2292E-05    -3.6742E-08       1.2301E-11    100   1500 |"
"34 |[CH3NO       FORMAMIDE                           30.911     1.4363E-02    1.9281E-04    -1.9805E-07      5.8262E-11     150   1500 |"
"35 |CH3NO2       NITROMETHANE                        41136     3.4367E-03    2.6380E-04     -2.6898E-07      7.9503E-11     100 | 1500"
"36 |CH3NO2       METHYL-NITRITE                      12.593    2.0137E-01    -1.1296E-04    2.2463E-08           -          298 | 1000 |"
"37 _|CH3NO3      METHYL-NITRATE                      17.049    2.4073E-01    -1.4966E-04    3.4904E-08             -mm      298   1000|"
"38 |[CH4         METHANE                             34.942    -3.9957E-02    1.9184E-04    -1.5303E-07      3.9321E-11      50   1500"
"39 |CH4CI2Si     METHYL DICHLOROSILANE               37.250    2.3327E-01    -1.9952E-04    9.1473E-08       -1.7387E-11    200   1500"
"40 |CH40         METHANOL                            40.046    -3.8287E-02   2.4529E-04     -2.1679E-07      5.9909E-11     100   1500"
"41 _|CH403S      METHANESULFONIC ACID                65450     -1.0363E-01   6.2784E-04     -6.7194E-07      2.3114E-10     298   1000"
"42 |CH4S         METHYL MERCAPTAN                    40.307    -3.6753E-03    1.8400E-04    -1.7596E-07      5.0137E-11     100   1500"
"43 _|CH5CISi     METHYL CHLOROSILANE                 25886     2.1064E-01    -1.3055E-04    3.6499E-08       -3.0118E-12    200   1500"
"44 |CHSN         METHYLAMINE                         40.039    -1.5108E-02   25012E-04      -2.3336E-07      6.5582E-11     100   1500"
"45 |CH6Si        METHYL SILANE                       25277     1.2988E-01    5.9803E-05     -1.2080E-07      4.0036E-11     100   1500"
"46 |CN408        TETRANITROMETHANE                   23733     55312E-01     -4.5854E-04     1.5286E-07      -1.3967E-11    298   1500"
"471_[CO          CARBON MONOXIDE                     29.556    -6.5807E-03   2.0130E-05     -1.2227E-08      2.2617E-12      60   1500"
"48 |COS          CARBONYL SULFIDE                    20913     9.2794E-02    -9.7014E-05    5.0943E-08       -1.0615E-11    100   1500"
"49 [cOo2         CARBON DIOXIDE                      27.437    4.2315E-02    -1.9555E-05    3.9968E-09       -2.9872E-13     50   5000"
"50 |CS2          CARBON DISULFIDE                    20461     1.2299E-01    -1.6184E-04     1.0199E-07      -2.4444E-11    100   1500"
"51 |C2BrF3       BROMOTRIFLUOROETHYLENE              33.956    2.3803E-01    -2.5448BE-04    1.3108E-07      -2.6462E-11    300   1200"
"52 |C2Br2F4      1,2-DIBROMOTETRAFLUOROETHANE        50542     3.7777E-01    -4.8770E-04    3.1054E-07       -7.8174E-11    298   1200"
"53 |C2CIF3       CHLOROTRIFLUOROETHYLENE             28.388    2.5871E-01    -2.9010E-04     1.5876E-07      -3.3880E-11    300   1500"
