"Table 3-1 HEAT CAPACITY OF LIQUID - ORGANIC COMPOUNDS"
""
"Cor=A+BT+CT2+DT                                    (Cp - joule/(mol K), T - K)"
"NO      FORMULA                       NAME                   A            B                 C              D        TMIN     TMAX       C,@25C"
"1  CBrCIF2        BROMOCHLORODIFLUOROMETHANE           66.842      4.2713E-01      -1.7526E-03   3.3738E-06         115      384      127 .81"
"2  |CBrCi3       BROMOTRICHLOROMETHANE                 32.285      7.1628E-01      -1.9205E-03   2.0950E-06        253       545       130.65"
"3  |CBrF3        BROMOTRIFLUOROMETHANE                 53.868      5.8473E-01     -2.9409E-03    6.6584E-06         106      306       143.25"
"4   |CBr2Fr2      DIBROMODIFLUOROMETHANE                60.141     5.4837E-01      -1.9397E-03    2.9706E-06        164       430       129.94"
"5  |CCIF3        CHLOROTRIFLUOROMETHANE                47.972     5.5277E-01      -3.1183E-03    8.0282E-06         93       272        e"
"6  |CCIN         CYANOGEN CHLORIDE                   -130.070     2.0318E+00      -6.6150E-03    7.7883E-06        268       404        94.09"
"7  |CCI2F2       DICHLORODIFLUOROMETHANE               53.463     4.6913E-01      -2.0770E-03    4.2398E-06        116       346       121.07"
"8  |CCi20        PHOSGENE                              53.075     4.5299E-01      -1.6986E-03    2.8257E-06        146       410       112.03"
"9   |CCI3F        TRICHLOROFLUOROMETHANE                29.120     3.0976E-01      -1.1066E-03    1.7185E-06        163       424        68.65"
"10 |CCl4          CARBON TETRACHLORIDE                   9.671     9.3363E-01      -2.6768E-03    3.0425E-06        251       501       130.72"
"11 |CF20          CARBONYL FLUORIDE                    -33.419     1.9984E+00      -1.0073E-02     1.9136E-05       163       267        ------"
"12 |CF4           CARBON TETRAFLUORIDE                  25.395     9.8067E-01      -7.0731E-03    2.1219E-05         91       205        m—eemeee"
"13 |CHBr3         TRIBROMOMETHANE                       23.676     7.1569E-01      -1.6914E-03    1.6314E-06        282       626       129.94"
"14 |CHCIF2        CHLORODIFLUOROMETHANE                 44.503     4.7737E-01      -2.2107E-03    4.5786E-06        117       332       111.66"
"15 |CHCI2F        DICHLOROFLUOROMETHANE                 51.597     4.1564E-01      -1.56739E-03   2.7008E-06        139       406       107.20"
"16  |[CHCI3        CHLOROFORM                            28.296     6.5897E-01      -2.0353E-03    2.5901E-06        211       483       11249"
"17 |CHF3          TRIFLUOROMETHANE                      19.142     8.4432E-01      -4.6671E-03    1.0607E-05        119       269        e"
"18  |CHI3          TRIIODOMETHANE                       194.656     -9.1508E-02      1.8580E-04        —             397       521        ----"
"19CHN              HYDROGEN CYANIDE                    -123.165     1.7769E+00      -5.8083E-03    6.9129E-06        261       411        73.52"
"20  |CHNS          ISOTHIOCYANIC-ACID                     e                             -—---          -—---       --—---    -----        ∙∙∙⋅∙∙⋅∙"
