"Table 1-1 CRITICAL PROPERTIES AND ACENTRIC FACTOR - ORGANIC COMPOUNDS"
"T"
"Mw           Tk         L        Tc       Pc           V¢      RHO"
"NO     FORMULA                     NAME                g/mol         K           K        K       bar        |cm3/mol| g/lcm3     Z;     OMEGA"
"1_|CBrCIF2     BROMOCHLORODIFLUOROMETHANE           165.365    113.65      269.14   426.15   4254          246.0   0.6722     0.295   0.187   |"
"2 |CBrCI3      BROMOTRICHLOROMETHANE                198.273    25215       378.05   606.00   49.70         284.0   0.6981     0.280   0.192   |"
"3 |CBrF3       BROMOTRIFLUOROMETHANE                148.910    105.15      21526    34015    39.72         2000    0.7446     0.281   0.173   |"
"4 |CBraF2      DIBROMODIFLUOROMETHANE              209.816     163.05      29594    478.00   53.30         249.0   0.8426     0.334   0.200"
"5 |CCIF3       CHLOROTRIFLUOROMETHANE              104.459      9215       19174    301.96   39.46         180.3   05794      0.283   0.180"
"6 |CCIN        CYANOGEN CHLORIDE                    61470     266.65       286.00   449.00   59.90         163.0   0.3771     0.262   0.320"
"7_|CCI2F2      DICHLORODIFLUOROMETHANE             120913      11515       24336    384.95   41.25         217.0   05672      0.280   0.180"
"8 |CCI20       PHOSGENE                             98.916     14537       280.71   45500    56.74         190.2   0.5200     0.285   0.201"
"9 |CCI3F       TRICHLOROFLUOROMETHANE              137.368     162.04      29697    47120    44.08         2480    05539      0.279   0.184"
"10_|CCi4        CARBON TETRACHLORIDE                153.822    250.33       349.79   566.35   4560          2760    05573      0.272   0.193"
"11_|CF20        CARBONYL FLUORIDE                    66.007     161.89      18858    297.00   57.60         141.0   0.4681     0.329   0.283"
"12 _|CF4        CARBON TETRAFLUORIDE                 88.005     89.56       145.09   22750    37.39         140.0   0.6286     0.277   0.186"
"13 _|CHBr3      TRIBROMOMETHANE                     252.731    281.20       42235    696.00   60.90         286.0   0.8837     0.301   0.156"
"14 |CHCIF2      CHLORODIFLUOROMETHANE                86468      11573       23232    369.30   49.71         166.0   05209      0.269   0219    |"
"15 |CHCI2F      DICHLOROFLUOROMETHANE               102923      138.15      28205    45158    51.84         196.0   05251      0.271   0.207    |"
"16 |CHCI3       CHLOROFORM                          119.377    209.63       334.33   53640    54.72         239.0   04995      0.293   0213     |"
"17_|CHF3        TRIFLUOROMETHANE                     70014      117.97      190.99   298.89   48.36         133.3   05252      0.259   0.267   |"
