"Table 8-1 DENSITY OF LIQUID - ORGANIC COMPOUNDS"
""
"density = A B! TT""""                       (density - g/ml, T - K)"
"NO     FORMULA                     NAME                     A            B         n          Tc       TMIN     TMAX      |density@25C"
"1  |CBrCIF2      BROMOCHLORODIFLUOROMETHANE            0.67201     0.256624    0.26440     426.15   113.65    426.15         1.810"
"2  |CBrCi3       BROMOTRICHLOROMETHANE                 0.69849     0.28000     0.28570     606.00   252.15    606.00         1.994"
"3  |CBrF3        BROMOTRIFLUOROMETHANE                 0.74110     0.26995     0.28006     340.15   105.15    340.15         1.536"
"4  |CBr2r2       DIBROMODIFLUOROMETHANE                0.84264     0.27721     0.26256     478.00   163.05    478.00        2.274"
"5 |CCIF3         CHLOROTRIFLUOROMETHANE                0.58753     0.27896     0.29070     30196     92.15    301.96        0.841"
"6  |CCIN          CYANOGEN CHLORIDE                     0.37713   0.22974       0.23860     449.00   266.65    449.00         1.172"
"7 |CCI2F2        DICHLORODIFLUOROMETHANE               0.57494     0.27880     0.29650     384.95   115.156   384.95         1.307"
"8 |CCI20         PHOSGENE                              0.51316    0.27119      0.27201     455.00   145.37    455.00        1.363"
"9  |CCI3F         TRICHLOROFLUOROMETHANE               056082      0.27556      0.28571     471.20   162.04    471.20         1.477"
"10 |CCl4          CARBON TETRACHLORIDE                  0.56607    0.27663      0.29000     556.35   250.33    556.35         1.583"
"11 |CF20          CARBONYL FLUORIDE                    0.46780     0.32913      0.28570     297.00   161.89    297.00        ~-~—--"
"12 |CF4         | CARBON TETRAFLUORIDE                 0.62949     0.28390      0.29095     227.50    89.56    227.50        -----"
"13  |CHBr3         TRIBROMOMETHANE                      0.88375     0.24757      0.30060    696.00   281.20     696.00        2.876"
"14  |CHCIF2        CHLORODIFLUOROMETHANE                0.51858     0.26605      0.28123     369.30   115.73    369.30        1.193"
"15  |CHCI2F        DICHLOROFLUOROMETHANE                0.52414     0.27110     0.28571     45158     138.15   451.58         1.367"
"16  |CHCI3         CHLOROFORM                           0.49807     0.25274     0.28766     536.40   209.63    536.40         1.480"
"17  |CHF3          TRIFLUOROMETHANE                     0.52435     0.25490     0.28910     298.89    117.97   298.89         0.667"
"18  |CHI3          TRIODOMETHANE                         1.12660    0.28100     0.28571     794.55   396.16    794.55         ~——meee"
"19  |CHN           HYDROGEN CYANIDE                     0.19501     0.18589     0.28206     456.65   259.91    456.65         0.680"
"20  |CHNS          ISOTHIOCYANIC-ACID                     —----       -—----      ----       -----------—--—--                -----"
"21CHZBrC|          BROMOCHLOROMETHANE                   0.68686     0.27700     0.28570     557.00    185.20   557.00         1.926"
"22  |CH2Br2        DIBROMOMETHANE                       0.77951     0.24834     0.27583     611.00   220.60    611.00         2.482"
"23  |CH2CIF        CHLOROFLUOROMETHANE                  0.44380     0.23000     0.28571     42491    140.16    424.91         1.256"
"24  |CH2CI2        DICHLOROMETHANE                      0.45965     0.25678     0.29020     510.00   178.01    510.00         1.318"
"25  |[CH2F2        DIFLUOROMETHANE                      0.42519     0.25220     0.28100     351.60   137.00    351.60         0.957"
"26  |CH2I2         DIIODOMETHANE                        0.98475     0.24998     0.26540     747.00   279.25    747.00         3.306"
"27  |CH20          FORMALDEHYDE                         0.26192     0.22240     0.28570     408.00   181.15    408.00         0.736"
"28  |CH202         FORMIC ACID                          0.36821     0.24296     0.23663     580.00   281.55    580.00         1.214"
"29  [CH3Br         METHYL BROMIDE                       0.60859     0.26292     0.28030     467.00   179.55    467.00         1.662"
"30  |CH3CI         METHYL CHLORIDE                      0.35821     0.26109     0.28690     416.25   175.45    416.25         0.913"
"31  |CH3CI3Si      METHYL TRICHLOROSILANE               0.43982     0.26111     0.27788 |   517.00   195.35    517.00         1.266"
"32  |CH3F          METHYL FLUORIDE                      0.29788     0.241563    0.28540     317.70   131.35    317.70        0.566"
"33  |CHa3I         METHYL IODIDE                        0.76723     0.25854     0.26790     528.00   206.70    528.00        2.265"
"34  |CH3NO         FORMAMIDE                            0.27633     0.20352     0.25178     771.00   275.70    771.00         1.129"
"35  |CH3NO2        NITROMETHANE                         0.35200     0.23918     0.29030     588.15   244.60    588.15         1.129"
"36  [CH3NO2        METHYL-NITRITE                         ———         e           mmemee     emeomen  emeemeen  eeemeee      —-----"
"37  |CH3NO3        METHYL-NITRATE                         ———         oo          e          --------------—                 ----"
"38  |CH4           METHANE                              0.15998     0.28810     0.27700     190.58    90.67    190.58        e"
"39  |CHA4CI2Si     METHYL DICHLOROSILANE                0.39804     0.28209     0.22529     483.00   182.55    483.00         1.103"
"40  |CH40          METHANOL                             0.27197     0.27192     0.23310     512.58   175.47    512.58        0.787"
"41  |CH403S        METHANESULFONIC ACID                   e           -----       ----       -------------                    1.477"
"42  |CHA4S         METHYL MERCAPTAN                     0.33179     0.28018     0.28523     469.95   150.18    469.95        0.862"
"43  |CHSCISi       METHYL CHLOROSILANE                  0.32761     0.26257     0.26569     442.00   139.05    442.00        0.884"
"44  |CH5SN         METHYLAMINE                          0.20168     0.21405     0.22750     430.05   179.69    430.05        0.655"
"45  |CHE6SI        METHYL SILANE                        0.22509     0.26757     0.28799     352.50   116.34    352.50        0.486"
