"Table 6-1 ENTHALPY OF FUSION - ORGANIC COMPOUNDS"
"MW        Te                   HFUS @ T:"
"NO       FORMULA                     NAME                     g/mol       K      kjoule/mol    kjoule/kg J   BTU/Ib"
"1    |CBrCIF2    BROMOCHLORODIFLUOROMETHANE                165.365    113.65    ⋅−−∙∙∙⋅⋅−            .      e"
"2    |CBrCI3     BROMOTRICHLOROMETHANE                     198.273   252.15     ——             —            —"
"3    |CBrF3      BROMOTRIFLUOROMETHANE                     148.910    105.15    —              —e           —"
"4    |CBr2F2     DIBROMODIFLUOROMETHANE                    209.816    163.05    ———e-          —            —"
"5    |CCIF3      CHLOROTRIFLUOROMETHANE                    104.459    92.15     —              —            —"
"6     |CCIN       CYANOGEN CHLORIDE                          61.470   266.65     —              —            —"
"7     |CCI2F2     DICHLORODIFLUOROMETHANE                   120.913    115.15    —              —            —"
"8     |CCI20      PHOSGENE                                   98.916   145.37      5.738        58.009        24.944"
"9     |CCI3F      TRICHLOROFLUOROMETHANE                    137.368    162.04     6.897        50.208        21.590"
"10    |[CCl4      CARBON TETRACHLORIDE                      153.822   250.33      2.535         16.480        7.086"
"11    |CF20       CARBONYL FLUORIDE                          66.007    161.89     6.708        101.626       43699"
"12    |CF4        CARBON TETRAFLUORIDE                       88.005    89.56      0.712         8.090         3.479"
"13    |CHBr3      TRIBROMOMETHANE                           252.731   281.20     11.600        45.899       *19.736"
"14    |CHCIF2     CHLORODIFLUOROMETHANE                      86.468   115.73      4123         47.682        20.503"
"15    |CHCI2F     DICHLOROFLUOROMETHANE                     102.923   138.15     R              e            —"
"16   |CHCI3       CHLOROFORM                                119.377   209.63      9.540        79.915        34.363"
"17   |[CHF3       TRIFLUOROMETHANE                           70.014   117.97     4.059         57.974        24.929"
"18    |CHI3        TRIIODOMETHANE                            393.732   396.16     ——                          —"
"19    |CHN         HYDROGEN CYANIDE                           27.026   259.91      8.406        311.034      133.745"
"20    |CHNS        ISOTHIOCYANIC-ACID                         59.086    —         —              —            —"
