"Table 5-1 ENTHALPY OF VAPORIZATION - ORGANIC COMPOUNDS"
""
"HVAP=A (1-T/T)""                       (HVAP - kjoule/mol, T - K)"
"NO     FORMULA                    NAME                  A           Tc        n       TMIN      TMAX         Te     HVAP @ TB'"
"1  |CBrCIF2    BROMOCHLORODIFLUOROMETHANE          32.403    426.15        0.371   113.65     426.15    269.14       22.37"
"2  |CBrCi3     BROMOTRICHLOROMETHANE               45.857    606.00        0.363   252.15     606.00    378.05       32.16"
"3  |CBrF3      BROMOTRIFLUOROMETHANE               25.070    340.15        0.357   105.15     340.15    215.26       17.53"
"4  |CBr2F2     DIBROMODIFLUOROMETHANE              39.175    478.00        0.399   163.05     478.00    295.94       26.65"
"5  |CCIF3      CHLOROTRIFLUOROMETHANE               18.614   301.96        0.175    92.15     301.96    191.74       15.60"
"6  |CCIN       CYANOGEN CHLORIDE                   38.096    449.00        0.345   266.65     449.00    286.00       26.86"
"7  |CCI2F2      DICHLORODIFLUOROMETHANE             30.930    384.95        0.406   115.15     384.95    243.36       20.61"
"8  |CCI20       PHOSGENE                            35.610    455.00        0.378   145.37     455.00    280.71       24.78"
"9  |CCI3F       TRICHLOROFLUOROMETHANE              37.119    471.20        0.391   162.04     471.20    296.97       25.16"
"10  |CCl4        CARBON TETRACHLORIDE                37.890    556.35        0.241   250.33     556.35    349.79       29.84"
"11  |CF20        CARBONYL FLUORIDE                   29.048    297.00        0.466   161.89     297.00    188.58       18.16"
"12  |CF4         CARBON TETRAFLUORIDE                16.659    227.50        0.349    89.56     227.50    145.09       11.69"
"13  |CHBr3       TRIBROMOMETHANE                     55.620    696.00        0.421   281.20     696.00    422.35       3754 |"
"14 |CHCIF2      CHLORODIFLUOROMETHANE               29.612    369.30        0.386   115.73     369.30    232.32       20.19"
"15  |CHCI2F      DICHLOROFLUOROMETHANE               29.763    451.58        0.193   138.15     451.58    282.05       24.64"
"16 |CHCI3       CHLOROFORM                          42.953    536.40        0.375   209.63     536.40    334.33       29.79"
"17  |[CHF3       TRIFLUOROMETHANE                    23.858    298.89        0.355   117.97     298.89    190.99       16.62"
"18  |[CHI3       TRIIODOMETHANE                      61.071    794.55        0.380   396.16     794.55    491.16       42.36"
"19  |CHN         HYDROGEN CYANIDE                    42.384    456.65        0.428   259.83     456.65    298.85       26.90"
"20  |CHNS        ISOTHIOCYANIC-ACID                   −∙∙∙∙⋅∙∙  ∙⋈∙∙∙−∙∙∙     ∙∙−∙∙−  ∙⋅⋅∙∙∙∙∙   ∙∙∙⋅⋅∙∙∙  ⋅⋅∙∙⋅∙∙∙∙−∙  −∙∙∙−∙"
"21CH2BrCl        BROMOCHLOROMETHANE                  44.363    557.00        0.374   185.20     557.00    341.20       31.12"
"22  |CH2Br2      DIBROMOMETHANE                      48.196    611.00        0.377   220.60     611.00    370.10       33.93"
"23  |CH2CIF      CHLOROFLUOROMETHANE                 32.899    424.91        0.380   140.16     424.91    264.06       22.74"
"24  (CH2CI2      DICHLOROMETHANE                     41.910    510.00        0.410   178.01     510.00    312.90       28.38"
"25  |CH2F2       DIFLUOROMETHANE                     28.364    351.60        0.341   137.00     351.60    221.50       20.21"
"26  |CH2i2       DIIODOMETHANE                       61.958    747.00        0.446   279.25     747.00    455.15       40.74"
"27  |CH20        FORMALDEHYDE                        30.940    408.00        0.297   181.15     408.00    254.05       23.16"
"28  |CH202       FORMIC ACID                          5.514    580.00       -1.338   281.45     373.71    373.71       21.99"
"29  |CH3Br       METHYL BROMIDE                      32.009    467.00        0.308   179.47     467.00    276.71       24.28"
"30  |CH3ClI      METHYL CHLORIDE                     32.534    416.25        0.452   175.43     416.25    248.93       21.55"
"31  |CH3CI3Si    METHYL TRICHLOROSILANE              38.200    517.00        0.287   195.35     517.00    339.55       28.10"
