"Table 11-1 ENTROPY AND ENTROPY OF FORMATION OF GAS - ORGANIC COMPOUNDS"
""
"Molecular Weight          Entropy             Entropy of Formation"
"NO       FORMULA                    NAME                         g/mol      S @ 298 K, joule/(mol K)   Sf@ 298 K, joule/(mol K)"
"1   |[CBrCIF2    BROMOCHLORODIFLUOROMETHANE                  165.365              318.57                     -78.383"
"2   |CBrCI3      BROMOTRICHLOROMETHANE                       198.273              332.92                     -79.490"
"3   |CBrF3       BROMOTRIFLUOROMETHANE                       148.910              297.71                     -88.144"
"4   |CBreF2      DIBROMODIFLUOROMETHANE                      209.816              325.24                     -36.559"
"5   |CCIF3       CHLOROTRIFLUOROMETHANE                      104.459              285.24                    -181.016"
"6   |CCIN        CYANOGEN CHLORIDE                            61.470              236.22                     23.310"
"7   |cCi2F2      DICHLORODIFLUOROMETHANE                     120.913              300.88                   -185.242"
"8   |CCI20       PHOSGENE                                    98.916               283.74                    -43.636"
"9   |CCI3F       TRICHLOROFLUOROMETHANE                      137.368              309.62                   -133.322"
"10   |CCl4        CARBON TETRACHLORIDE                        153.822              309.70                   -141.472"
"11   |CF20        CARBONYL FLUORIDE                           66.007               258.79                    -52.121           N"
"12   |CF4         CARBON TETRAFLUORIDE                        88.005               261.31                   -149.589         ]"
"13   |CHBr3       TRIBROMOMETHANE                            252731                330.59                     31.192         N"
"14   |CHCIF2      CHLORODIFLUOROMETHANE                     "" 86.468               280.86                   -111.353"
"15   |CHCI2F      DICHLOROFLUOROMETHANE                       102.923              293.17                   -107.731           i"
"16   |CHCI3       CHLOROFORM                                  119.377              295.51                   -109.743"
"17   |CHF3        TRIFLUOROMETHANE                            70.014               259 56                   115479 |"
"18   |CHI3        TRIIODOMETHANE                             393732                e                      110414"
"19 |CHN            HYDROGEN CYANIDE                           27.026                201.67                     35.083          ]"
"20    |CHNS        ISOTHIOCYANIC-ACID                         59.086                 e                          49.405"
"21    |CH2BrCl     BROMOCHLOROMETHANE                         129.384               287.00                     -36.559         ]"
"22    |CH2Br2      DIBROMOMETHANE                             173.835               292.96                       4.696"
"23    |CH2CIF      CHLOROFLUOROMETHANE                        68.478                 e                         -93.208"
"24    |CH2CI2      DICHLOROMETHANE                            84.932                270.18                     -88.982"
"25    |CH2F2       DIFLUOROMETHANE                            52.024                246.58                     -92.336"
"26    |CH2I2       DIIODOMETHANE                             267.836                309.39                      56.683"
"27    |CH20        FORMALDEHYDE                               30.026                218.66                     -20.091"
"28    |[CH202      FORMIC ACID                                46.026                24874                      -92.604"
"29    |CH3Br       METHYL BROMIDE                             94.939                245.85                     -31.863"
"30    |CH3CI       METHYL CHLORIDE                            50.488                234.18                     -78.585"
"31    |CH3CI3Si    METHYL TRICHLOROSILANE                    149.478                351.15                    -203.589"
"32    |CH3F        METHYL FLUORIDE                            34.033                22278                      -80.127"
"33    |CH3l        METHYL IODIDE                             141.939                254.01                      -5.635"
"34    |CH3NO       FORMAMIDE                                  45.041                248.45                    -151.434"
"35    |CH3NO2      NITROMETHANE                               61.040                275.01                    -227.335"
"36    |CH3NO2      METHYL-NITRITE                             61.040                 ⋯                        -218.078"
"37    |CH3NO3      METHYL-NITRATE                             77040                  -                        -302.968"
"38    |CH4         METHANE                                    16.043                186.27                     -80.530"
"39    |CH4CI2Si    METHYL DICHLOROSILANE                     115.034                328.70                    -180.111"
"40    |CH40        METHANOL                                   32.042                239.70                    -129.666"
"41    |CH403S      METHANESULFONIC ACID                       96.107                189.00                       I"
"42    |CH4S        METHYL MERCAPTAN                           48.109                255.02                     43770"
"43    |CHS5CISI    METHYL CHLOROSILANE                        80.589                298.28                    -164.011"
"44    |CHS5N       METHYLAMINE                                31.057                243.30                    -185.376        B"
"45    |CH6SI       METHYL SILANE                              46.144                256.50                    -159.752"
"46    |CN408       TETRANITROMETHANE                         196.033                 e                          e"
"47    |CO          CARBON MONOXIDE                            28.010                197.54                      89.686"
"48    |COS         CARBONYL SULFIDE                           60.076                231.47                      91.330"
"49    |CO2         CARBON DIOXIDE                            44.010                 213.69                      2.918"
"50    |CS2         CARBON DISULFIDE                           76.143                237.79                     168.271"
"51    |C2BrF3      BROMOTRIFLUOROETHYLENE                    160.921                335.00                     -57.018"
"52    |C2Br2F4     1,2-DIBROMOTETRAFLUOROETHANE              259.824                387.52                    -181.553"
"53    [C2CIF3      CHLOROTRIFLUOROETHYLENE                   116.470                323.00                    -102.968"
"54    |C2CIF5      CHLOROPENTAFLUOROETHANE                   154.467                353.17                    -280.664"
"55    |C2CI2F4     1,2-DICHLOROTETRAFLUOROETHANE             170.921                364.93                    -275.063"
"56    |C2CI3F3     1,1,2-TRICHLOROTRIFLUOROETHANE            187.375                388.23                    -261.010"
"57    |C2Cl4       TETRACHLOROETHYLENE                       165.833                340.85                    -116.619"
"58    |C2CI4F2     1,1,2,2-TETRACHLORODIFLUOROETHANE         203.830                388.36                    -271.742"
"59    |C2Cl40      TRICHLOROACETYL CHLORIDE                  181.832                369.36                    -190.542"
"60    |C2Cl6       HEXACHLOROETHANE                          236.738                398.74                    -283.750"
"61    |C2F4        TETRAFLUOROETHYLENE                       100.016                300.01                    -116.887"
"62    |C2F6        HEXAFLUOROETHANE                          138.012                332.08                    -287.372"
"63    |C2HBrCIF3   HALOTHANE                                 197.382                360.00                    -202.381"
"64    |C2HCIF2     2-CHLORO-1,1-DIFLUOROETHYLENE              98.479                304.00                     -87.204"
"65    |C2HCI3      TRICHLOROETHYLENE                         131.388                325.09                     -86.165"
"66    |C2HCI3O     DICHLOROACETYL CHLORIDE                   147.387                350.45                    -163.274"
"67    |C2HCI30     TRICHLOROACETALDEHYDE                     147.387                348.00                    -164.347"
"68    |C2HCI5      PENTACHLOROETHANE                         202.293                381.41                    -253.597"
"69    |C2HF3       TRIFLUOROETHENE                            82.025                 e                         -88.244"
"70    |C2HF302     TRIFLUOROACETIC ACID                      114.024                333.00                    -253.899"
"71    |C2HF5       PENTAFLUOROETHANE                         120.022                333.72                    -249.874"
"72    |C2H2        ACETYLENE                                 26.038                 200.82                     58.796"
"73    |C2H2Br4     1,1,2,2-TETRABROMOETHANE                  345.654                400.12                     46.353"
"74    [C2H2CI2     1,1-DICHLOROETHYLENE                       96.943                287.87                     -77.209"
"75    |C2H2CI2     cis-1,2-DICHLOROETHYLENE                   96.943                289.61                     -75.331"
"76    |C2H2CI2     trans-1,2-DICHLOROETHYLENE                96.943                 289.85                     -75.231"
"77    |C2H2CI20    CHLOROACETYL CHLORIDE                     112.943                325.77                    -141.640"
"78    [C2H2CI20    DICHLOROACETALDEHYDE                      112.943                329.00                    -137.515"
""
"265"
"  Table 11-1 ENTROPY AND ENTROPY OF FORMATION OF GAS - ORGANIC COMPOUNDS (continued)"
""
"Molecular Weight          Entropy            Entropy of Formation"
"NO       FORMULA                       NAME                g/mol         S @ 298 K,joule/(mol K)   Sf @ 298 K, joule/(mol K)"
"79    |C2H2CI202     DICHLOROACETIC ACID                  128.942          ⋅    342.00                    -228.073"
"80    |C2H2CI3F      1,1,1-TRICHLOROFLUOROETHANE          151.394               350.00                    -228.073"
"81    |C2H2Cl4       1,1,1,2-TETRACHLOROETHANE            167.849               355.85                    -231.763"
"82    |[C2H2Cl4      1,1,2,2-TETRACHLOROETHANE            167.849               354.97                    -225.256"
"83    |C2H2F2        1,1-DIFLUOROETHYLENE                  64.035               265.18                     -79.557"
