"Table 13-1 GIBBS ENERGY OF FORMATION OF GAS - ORGANIC COMPOUNDS"
""
"Gf=A+BT+CT                                          (Gf - kjoule/mol, T - K)"
"NO       FORMULA                      NAME                     A             B              C         TMIN      TMAX       Gf@ 298 K| Gf@ 500 K"
"1    |CBrCIF2     BROMOCHLORODIFLUOROMETHANE            -447.311       1.2794E-01    -4 4565E-06       333       1000        -408.00    -384.46"
"2   |CBrClI3      BROMOTRICHLOROMETHANE                  -54.665       1.2976E-01    -8.4521E-06      333        1000         -156.20      8.10"
"3   |CBrF3        BROMOTRIFLUOROMETHANE                 -664.953       1.3721E-01    -2.2103E-06      333        1000        -622.66    -5696.90"
"4   |CBr2F2       DIBROMODIFLUOROMETHANE               -418.443       1.3915E-01     -2.0391E-05      333        1000        -375.70    -353.96"
"5   |CCIF3        CHLOROTRIFLUOROMETHANE               -694.327       1.3545E-01     6.8525E-07       298        1000       -653.96     -626.43"
"6   |CCIN         CYANOGEN CHLORIDE                      138.077     -2.2913E-02     -2.4942E-06      298        1000        131.00      126.00"
"7   |CCI2F2       DICHLORODIFLUOROMETHANE              -481.827       1.4482E-01     4.3398E-06       298        1000       -438.06     -408.33"
"8   |CCI20        PHOSGENE                             -219.038       4.4372E-02    -1.3968E-06       298        1000       -205.94     -197.20"
"9   |CCI3F        TRICHLOROFLUOROMETHANE               -284.764       1.3487E-01    -5.3707E-06       298        1000       -245.18    -218.67"
"10   [CCl4         CARBON TETRACHLORIDE                 -100.838       1.4561E-01    -8.6766E-06       298        1000         -58.24     -30.20"
"11   |CF20         CARBONYL FLUORIDE                    -639.112       5.1862E-02     2.9462E-06       298       1000        -623.36    -612.45"
"12   |CF4          CARBON TETRAFLUORIDE                 -933.816       1.5206E-01     6.7334E-08       298       1000        -888.43    -857.77"
"13   |CHBr3        TRIBROMOMETHANE                        -30.208 -    1.1033E-01    -1.8500E-07       333       1000           7.40      24 .91"
"14   |CHCIF2       CHLORODIFLUOROMETHANE                -482.201       1.0493E-01     4.2461E-06       298       1000       .-450.47    -428.67"
"15   |CHCI2F       DICHLOROFLUOROMETHANE                -283.827       1.0295E-01     3.0690E-06       298       1000        -252.81    -231.58"
"16   |CHCI3        CHLOROFORM                           -101.846       1.1137E-01     8.6302E-07       298       1000         -68.53     -45.95"
"17   |CHF3         TRIFLUOROMETHANE                     -698.170       1.1528E-01     7.1054E-06       298       1000        -663.08    -638.76"
"18   |CHI3         TRIIODOMETHANE                         116.349      1.0932E-01    -2.3735E-06       459       1000         177.95     170.42"
"19   |CHN          HYDROGEN CYANIDE                       1356.278    -3.6253E-02     2.3053E-06       298       1000         124.68     117.73"
"20   |CHNS         ISOTHIOCYANIC ACID                     129.895     -6.6463E-02     3.1215E-05       389        717         112.88     104 .47"
"21   |CH2BrCI      BROMOCHLOROMETHANE                     -568.800     8.2499E-02     8.3991E-06       333       1000         -31.80     -15.45"
"22   |CH2Br2       DIBROMOMETHANE                         -46.334      8.8015E-02     7.6027E-06       333       1000         -16.20       -0.43"
"23   |CH2CIF       CHLOROFLUOROMETHANE                  -262.549       8.3336E-02     1.0838E-05       298       1000        -236.64    -218.17"
"24   |CH2CI2       DICHLOROMETHANE                        -95.965      8.8080E-02     8.5438E-06       298       1000         -68.87     -49.79"
"25   |CH2F2        DIFLUOROMETHANE                      -453.610       9.0621E-02     1.2721E-05       298       1000        -425.35    -405.12"
"26   |CH2I2        DIIODOMETHANE                          53.345       9.2134E-02     3.1467E-06       459       1000         101.09     100.20"
"27   |CH20         FORMALDEHYDE                         -115.972       1.6630E-02     1.1381E-05       298       1000        -109.91    -104.81"
"28   |CH202        FORMIC ACID                          -379.192       9.1431E-02     9.5249E-06       298       1000        -351.00    -331.10"
"29   |CH3Br        BROMOMETHANE                           -55.241      8.0199E-02     1.1207E-05       333       1000         -28.16     -12.34"
"30   |CH3CI        CHLOROMETHANE                          -86.903      7.5722E-02     1.4823E-05       298       1000         -62.89     -45.34"
"31   |CH3CI3Si     METHYL TRICHLOROSILANE               -572.529       2.0329E-01     8.1114E-06       298       1000        -511.10    -468.86"
"32   |CH3F         FLUOROMETHANE                        -234.475       7.6613E-02     1.6807E-05       298       1000        -210.00    -191.97"
"33   |CHal         IODOMETHANE                           -20.627       8.3254E-02     8.0701E-06       459       1000          15.65      23.02"
"34   |CH3NO        FORMAMIDE                            -187.267       1.4992E-01     1.5392E-05       298       1000        -141.04    -108.46"
"35   |CH3NO2       NITROMETHANE                          -76.173      2.2736E-01      1.4355E-05       298       1000          -6.95      41.10"
"36   |CH3NO2       METHYL NITRITE                        -65.640      2.2023E-01      9.2945E-06       298       1000           1.00      46.80"
"37   |CH3NO3       METHYL NITRATE                       -122.358      3.0626E-01      8.2197E-06       298       1000         -30.17      32.83"
"38   |[CH4         METHANE                               -75.262      7.5925E-02      1.8700E-05       298       1000         -50.84     -32.63"
"39   |CH4CI2Si     METHYL DICHLOROSILANE                -403.035       1.7954E-01     1.2022E-05       298       1000        -348.30    -310.26"
"40   |CH40         METHANOL                             -201.860       1.2542E-01    2.0345E-05        298       1000        -162.51    -134.06"
"41   |CH403S       METHANESULFONIC ACID                    e              A               -----      ------     ------       -459.00     -------"
"42   |CH4S         METHANETHIOL                          -19.483       1.6198E-02    5.2738E-05        389        717          -9.92       1.80"
"43   |CH5CISI      METHYL CHLOROSILANE                  -216.302       1.6253E-01     1.7508E-05       298       1000        -166.10    -130.66"
