"Table 14-1 SOLUBILITY PARAMETER, LIQUID VOLUME, AND VAN DER WAALS AREA AND VOLUME - ORGANIC COMPOUNDS (continued"
""
"Molecular      Solubility Parameter Liquid Volume Van Der Waals   Van Der Waals"
"NO     FORMULA                       NAME                Weight, g/mol!      (joute/cm®)*®      cm’/mol      Area, cm’/mol Volume, cm*/mol"
"859 |C8H18S       n-OCTYL MERCAPTAN                         146.297             17.294          174.195        1.390E+10       100.090"
"860 |C8H18S       tert-OCTYL MERCAPTAN                      146.297             15.311          173.885        1.386E+10       100.050"
"861 |C8H18S       BUTYL-SULFIDE                              146.29             16.463          174.244        1.364E+10        99.520"
"862 |C8H18S       ETHYL-HEXYL-SULFIDE                        146.29             17.305          174.238        1.364E+10        99.520"
"863 [CBH18S       HEPTYL-METHYL-SULFIDE                      146.29             17.305          174.238        1.364E+10        99.520"
"864 [C8H18S       PENTYL-PROPYL-SULFIDE                      146.29             17.305          174.238        1.364E+10        99.520"
"865 |CBH18S2       BUTYL-DISULFIDE                            178.35             17.559          190.951        1.494E+10       111.420"
"| 866 |CBH19N        DI-n-BUTYLAMINE                           129.246             16.576          170.715        1.333E+10        96.800"
"867 |[C8H19N      DISOBUTYLAMINE                            129.246             15.302          174.062        1.327E+10        96.780"
"868 |C8H19N       n-OCTYLAMINE                              129.246             17.229          165.977        1.330E+10        95.800"
"869 |C8H23N5      TETRAETHYLENEPENTAMINE                    189.304             24.237          190.365        2.341E+10       154.680"
"870 |C8H2404Si4   |OCTAMETHYLCYCLOTETRASILOXANE             296.618             12.922          312.420        2.122E+10       166.200"
"871 |C9H405       TRIMELLITIC ANHYDRIDE                     192.128             26.481          150.016        1.076E+10        87.640"
"872 |C9HEN202     TOLUENE DISOCYANATE                       174.159             21.851          142.752        9.040E+09        86.670"
"873 |COH7N        ISOQUINOLINE                              129.161             22.053          118.250        7.650E+09        71.100"
"874 |[COH7N       QUINOLINE                                 129.161             21.940          118.548        7.640E+09        71.100"
"875 |C9H7NO       8-HYDROXYQUINOLINE                        145.161             21.701          139.636        1.066E+10        75.820"
"876 |C9H8         INDENE                                    116.163             20.467          116.856        7.930E+09        68.890"
