"Table 23-1 THERMAL CONDUCTIVITY OF GAS - ORGANIC COMPOUNDS"
""
"Kgas =A+BT+CT?                                 (kgas - W/(m K), T - K)"
"NO      FORMULA                     NAME                 A           B            C        TMIN    TMAX     Kgas @25 C   kgoy @TMIN   Kgas @TMAX"
"1  CBrCIF2       BROMOCHLORODIFLUOROMETHANE          -0.00408 3.4053E-05   2.1046E-08     173     1000      0.00794      0.00244      0.05102"
"2  |CBrCI3      BROMOTRICHLOROMETHANE                -0.00407 2.3399E-05   2.0915E-08     378     1000        -          0.00776      0.04024"
"3  |CBrF3       BROMOTRIFLUOROMETHANE                -0.00528 4.7159E-05   1.1929E-08     215     1000     0.00984       0.00541     0.05381"
"4  |CBr2F2      DIBROMODIFLUOROMETHANE               -0.00507 3.3401E-05  2.0218E-08     296      996      0.00669       0.00659     0.04825"
"5  |CCIF3       CHLOROTRIFLUOROMETHANE               -0.00381 4.8679E-05   1.7208E-08     192     600      0.01223      0.00617      0.03159"
"6  |CCIN        CYANOGEN CHLORIDE                    -0.00239 3.3400E-05 -3.7346E-09     286     1000      0.00724      0.00686      0.02728"
"7  |CCI2F2      DICHLORODIFLUOROMETHANE              -0.00079 2.1035E-05  4.6311E-08      115     385      0.00960      0.00224      0.01417"
"8  |CCI20       PHOSGENE                             -0.00442 3.8294E-05   1.9223E-08     250     800      0.00871      0.00635      0.03852"
"9  |CCI3F       TRICHLOROFLUOROMETHANE               -0.00252 3.1168E-05   1.2304E-08    250      500      0.00786      0.00604      0.01614"
"10  |CCl4        CARBON TETRACHLORIDE                -0.00070 2.2065E-05   6.7913E-09     255      556      0.00648      0.00537      0.01367"
"11  |CF20        CARBONYL FLUORIDE                   -0.00560 6.4614E-05 -1.0689E-08       189    1000      0.01271      0.00623      0.04833"
"12  |CF4         CARBON TETRAFLUORIDE                -0.00406 6.3276E-05   2.5435E-09      145     750      0.01503      0.00517      0.04483"
"13 |CHBr3        TRIBROMOMETHANE                     -0.00169 1.2862E-05    1.7430E-08    422     1000         S         0.00684      0.02860"
"14 |CHCIF2       CHLORODIFLUOROMETHANE               -0.00011  1.6709E-05  6.3391E-08     232      500      0.01051      0.00718      0.02409"
"15 |CHCI2F       DICHLOROFLUOROMETHANE               -0.00123 1.8714E-05   4.7235E-08     250      450      0.00855      0.00640      0.01676"
"16 |CHCI3        CHLOROFORM                          -0.00019 2.2269E-05    1.2257E-09    273      573      0.00656      0.00598      0.01297"
"17 |CHF3         TRIFLUOROMETHANE                    -0.00431 5.5962E-05 -1.0820E-09       191    1000      0.01228      0.00634      0.05057"
"18 |CHI3         TRIIODOMETHANE                      -0.00099 1.1538E-05 -6.7781E-11      275     1000      0.00244      0.00218      0.01048"
