"Table 24-1 THERMAL CONDUCTIVITY OF LIQUID - ORGANIC COMPOUNDS"
""
"l0g1o kiqg = A + B [1 - TIC]?                   (kiiq - W/(m K), T - K)"
"NO      FORMULA                     NAME                  A        B        C    TMIN TMAX kug@25C               kiq @TMIN      kig @TMAX"
"1  CBrCIF2       BROMOCHLORODIFLUOROMETHANE          -1.1059  0.2320   426.15    114   405   0.1145               0.1274          0.0784"
"2  |CBrCI3       BROMOTRICHLOROMETHANE               -1.8873   1.0168  606.00    252   576   0.0893               0.0945          0.0130"
"3  |CBrfF3       BROMOTRIFLUOROMETHANE               -2.0074   1.1951  340.15    105   323   0.0447               0.1150          0.0098"
"4  |CBr2r2       DIBROMODIFLUOROMETHANE              -1.6881  0.9967   478.00    163   454   0.1163               0.1548          0.0205"
"5  |CCIF3        CHLOROTRIFLUOROMETHANE              -1.6922  0.9350   301.96     92   287     e                  0.1397          0.0203 |"
"6  |[CCIN        CYANOGEN CHLORIDE                   -1.5416   1.0380  449.00    267   427   0.1654               0.1748          0.0287 |"
"7  |CCI2F2       DICHLORODIFLUOROMETHANE             -1.8990   1.1855  384.95    115   366   0.0751               0.1463          0.0126 |"
"8  |CCI20        PHOSGENE                            -1.4013  0.7045   455.00    145   432   0.1313               0.1681          0.0397"
"9  |CCI3F        TRICHLOROFLUOROMETHANE              -1.9663  1.2354   471.20    162   448   0.0915               0.1320          0.0108"
"10  |CCl4         CARBON TETRACHLORIDE                -1.8791  1.0875   556.35    250   529   0.0987               0.1063          0.0132"
"11  |CF20         CARBONYL FLUORIDE                   -1.4494  1.0257   297.00    162   282     -                  0.2260          0.0355"
"12  |CF4          CARBON TETRAFLUORIDE                -1.7559  0.9890   227.50     90   216     -                  0.1236          0.0175"
"13  |CHBr3        TRIBROMOMETHANE                     -1.9473  1.1088   696.00    281   661   0.0995               0.0998          0.0113"
"14  |CHCIF2       CHLORODIFLUOROMETHANE               -1.6896  1.0163   369.30    116   351   0.0882               0.1647          0.0204"
"15  |CHCI2F       DICHLOROFLUOROMETHANE               -1.8416  1.15692  451.58    138   429   0.1023               0.1570         0.0144"
"16  |CHCI3        CHLOROFORM                          -1.5271  0.7577   536.40    210   510   0.1185               0.1330          0.0297"
"17  |CHF3         TRIFLUOROMETHANE                    -1.6073  0.9937   298.89    118   284     ∙⋅⋅⋅∙              0.1758         0.0247"
"18  |CHI3         TRIIODOMETHANE                      -1.7076  0.5740   794.55    396   755     e                  0.0571         0.0196"
